fold,model,feature,importance
6,gradient_boosting,max_mag_7d,0.009715732937719667
6,gradient_boosting,max_mag_30d,0.01132352912126345
6,gradient_boosting,mean_depth_30d,0.032034293417819826
6,gradient_boosting,days_since_m5,0.024044456121485897
6,gradient_boosting,min_fault_dist_km,0.013620182672073001
6,gradient_boosting,mean_fault_dist_km_7d,0.03256849971027368
6,gradient_boosting,pct_near_fault_30d,0.01923295823818055
6,gradient_boosting,num_clusters_30d,0.029999751997007846
6,gradient_boosting,largest_cluster_size_30d,0.006382907189483245
6,gradient_boosting,pct_clustered_30d,0.008443466529870033
6,gradient_boosting,max_grid_cell_count_30d,0.0004126969692164485
6,gradient_boosting,b_value_180d,0.03456848743642175
6,gradient_boosting,a_value_180d,0.021722542338687534
6,gradient_boosting,delta_b_90d,0.0024350645415799083
7,random_forest,count_1d,0.003759814653683495
7,random_forest,count_7d,0.008880029852639765
7,random_forest,count_30d,0.6602968893120044
7,random_forest,max_mag_7d,0.017895836314449246
7,random_forest,max_mag_30d,0.026543999698943627
7,random_forest,mean_depth_30d,0.05479347914485909
7,random_forest,days_since_m5,0.04506754015422373
7,random_forest,min_fault_dist_km,0.018602955452154665
7,random_forest,mean_fault_dist_km_7d,0.03379449323901555
7,random_forest,pct_near_fault_30d,0.028683974268669456
7,random_forest,num_clusters_30d,0.006425964096779043
7,random_forest,largest_cluster_size_30d,0.008946405520702505
7,random_forest,pct_clustered_30d,0.01967355193559347
7,random_forest,max_grid_cell_count_30d,0.004991690873164241
7,random_forest,b_value_180d,0.0321202220459086
7,random_forest,a_value_180d,0.02349775139177186
7,random_forest,delta_b_90d,0.006025402045437248
7,gradient_boosting,count_1d,0.002213401552557793
7,gradient_boosting,count_7d,0.005554656745011163
7,gradient_boosting,count_30d,0.718654997929493
7,gradient_boosting,max_mag_7d,0.00854579816758023
7,gradient_boosting,max_mag_30d,0.008756768549477224
7,gradient_boosting,mean_depth_30d,0.02981306253882171
7,gradient_boosting,days_since_m5,0.08189658671864032
7,gradient_boosting,min_fault_dist_km,0.010685818155761334
7,gradient_boosting,mean_fault_dist_km_7d,0.03032052558151971
7,gradient_boosting,pct_near_fault_30d,0.02541720388779135
7,gradient_boosting,num_clusters_30d,0.005347773356388606
7,gradient_boosting,largest_cluster_size_30d,0.001996725303295023
7,gradient_boosting,pct_clustered_30d,0.01073440465758965
7,gradient_boosting,max_grid_cell_count_30d,0.0013879337586614705
7,gradient_boosting,b_value_180d,0.02940129340182945
7,gradient_boosting,a_value_180d,0.02624383550794751
7,gradient_boosting,delta_b_90d,0.0030292141876344923
8,random_forest,count_1d,0.004545761062080653
8,random_forest,count_7d,0.009649910077233901
8,random_forest,count_30d,0.6597218678141997
8,random_forest,max_mag_7d,0.021467265725829982
8,random_forest,max_mag_30d,0.026330483275895888
8,random_forest,mean_depth_30d,0.059476144352024155
8,random_forest,days_since_m5,0.0322360855971621
8,random_forest,min_fault_dist_km,0.019978557224369444
8,random_forest,mean_fault_dist_km_7d,0.03659714924180178
8,random_forest,pct_near_fault_30d,0.02720699180292034
8,random_forest,num_clusters_30d,0.005515144781649464
8,random_forest,largest_cluster_size_30d,0.011574749388364466
8,random_forest,pct_clustered_30d,0.01969649703476099
8,random_forest,max_grid_cell_count_30d,0.004337709768556936
8,random_forest,b_value_180d,0.03371938615427017
8,random_forest,a_value_180d,0.022168811545590014
8,random_forest,delta_b_90d,0.005777485153289944
8,gradient_boosting,count_1d,0.0009561833598834713
8,gradient_boosting,count_7d,0.019494660559457172
8,gradient_boosting,count_30d,0.7484562534831335
8,gradient_boosting,max_mag_7d,0.013882782386661083
8,gradient_boosting,max_mag_30d,0.0074801926515865895
8,gradient_boosting,mean_depth_30d,0.0421074734501002
8,gradient_boosting,days_since_m5,0.03695321668589491
8,gradient_boosting,min_fault_dist_km,0.012752097456663058
8,gradient_boosting,mean_fault_dist_km_7d,0.026595748999745875
8,gradient_boosting,pct_near_fault_30d,0.02344020153643076
8,gradient_boosting,num_clusters_30d,0.0007685103184876821
8,gradient_boosting,largest_cluster_size_30d,0.0035798375731019585
8,gradient_boosting,pct_clustered_30d,0.009018290501050087
8,gradient_boosting,max_grid_cell_count_30d,0.0018689401959818847
8,gradient_boosting,b_value_180d,0.028996072234108796
8,gradient_boosting,a_value_180d,0.01956514883097108
8,gradient_boosting,delta_b_90d,0.004084389776741971
9,random_forest,count_1d,0.004510318408141031
9,random_forest,count_7d,0.009579361259783021
9,random_forest,count_30d,0.6391405329267175
9,random_forest,max_mag_7d,0.0236054604277095
9,random_forest,max_mag_30d,0.028380005424960837
9,random_forest,mean_depth_30d,0.05922131117618124
9,random_forest,days_since_m5,0.04099896561408982
9,random_forest,min_fault_dist_km,0.02201363769810234
9,random_forest,mean_fault_dist_km_7d,0.041664311208193014
9,random_forest,pct_near_fault_30d,0.026421953395723737
9,random_forest,num_clusters_30d,0.0062436320991407545
9,random_forest,largest_cluster_size_30d,0.009064277621557325
9,random_forest,pct_clustered_30d,0.01880694925116323
9,random_forest,max_grid_cell_count_30d,0.0061685134869014415
9,random_forest,b_value_180d,0.03480274759026767
9,random_forest,a_value_180d,0.022720624723953784
9,random_forest,delta_b_90d,0.006657397687413826
9,gradient_boosting,count_1d,0.0019428537852924613
9,gradient_boosting,count_7d,0.011818238292729493
9,gradient_boosting,count_30d,0.7375781884759768
9,gradient_boosting,max_mag_7d,0.012267238768407499
9,gradient_boosting,max_mag_30d,0.009977583475238269
9,gradient_boosting,mean_depth_30d,0.029975377240844328
9,gradient_boosting,days_since_m5,0.044731138899342784
9,gradient_boosting,min_fault_dist_km,0.017519311667584105
9,gradient_boosting,mean_fault_dist_km_7d,0.03365084809973984
9,gradient_boosting,pct_near_fault_30d,0.025283499371850506
9,gradient_boosting,num_clusters_30d,0.0006034237342488574
9,gradient_boosting,largest_cluster_size_30d,0.0022065281901251835
9,gradient_boosting,pct_clustered_30d,0.013730759109300404
9,gradient_boosting,max_grid_cell_count_30d,0.0024660260079915584
9,gradient_boosting,b_value_180d,0.03254535169522505
9,gradient_boosting,a_value_180d,0.019097682169247548
9,gradient_boosting,delta_b_90d,0.004605951016855395
10,random_forest,count_1d,0.005251359671750495
10,random_forest,count_7d,0.010477242430056571
10,random_forest,count_30d,0.6231919699536446
10,random_forest,max_mag_7d,0.02204428317315182
10,random_forest,max_mag_30d,0.029443881734763047
10,random_forest,mean_depth_30d,0.06385812596308237
10,random_forest,days_since_m5,0.04559525253131788
10,random_forest,min_fault_dist_km,0.02344981593408065
10,random_forest,mean_fault_dist_km_7d,0.044844519302487854
10,random_forest,pct_near_fault_30d,0.02573255891567476
10,random_forest,num_clusters_30d,0.006346571459386602
10,random_forest,largest_cluster_size_30d,0.00971850112113853
10,random_forest,pct_clustered_30d,0.01870965716593176
10,random_forest,max_grid_cell_count_30d,0.0055335794675932855
10,random_forest,b_value_180d,0.036125820470254845
10,random_forest,a_value_180d,0.022388055534171464
10,random_forest,delta_b_90d,0.007288805171513571
10,gradient_boosting,count_1d,0.002977226400555715
10,gradient_boosting,count_7d,0.01723618141607495
10,gradient_boosting,count_30d,0.7225619719965575
