fold,model,feature,importance
3,random_forest,max_grid_cell_count_30d,0.0030747167829435536
3,random_forest,b_value_180d,0.018609467947552437
3,random_forest,a_value_180d,0.009107179687038539
3,random_forest,delta_b_90d,0.005528137786247852
3,random_forest,count_1d_missing,0.0
3,random_forest,count_7d_missing,0.0
3,random_forest,count_30d_missing,0.0
3,random_forest,max_mag_7d_missing,0.00030566133724014644
3,random_forest,max_mag_30d_missing,0.00030646251586728636
3,random_forest,mean_depth_30d_missing,0.00042924369972694316
3,random_forest,days_since_m5_missing,0.0
3,random_forest,min_fault_dist_km_missing,0.0003816291813342452
3,random_forest,mean_fault_dist_km_7d_missing,0.0003089085443131711
3,random_forest,pct_near_fault_30d_missing,0.00022825554153852113
3,random_forest,num_clusters_30d_missing,0.0
3,random_forest,largest_cluster_size_30d_missing,0.0
3,random_forest,pct_clustered_30d_missing,0.0
3,random_forest,max_grid_cell_count_30d_missing,0.0
3,random_forest,b_value_180d_missing,0.00039897273555234173
3,random_forest,a_value_180d_missing,0.0002129803748900827
3,random_forest,delta_b_90d_missing,0.00020309494547272533
3,random_forest,province_Davao De Oro,0.0027572770753692007
3,random_forest,province_Davao Del Norte,0.01216490402906628
3,random_forest,province_Davao Del Sur,0.0033925928663188797
3,random_forest,province_Davao Occidental,0.006504878269474953
3,random_forest,province_Davao Oriental,0.0003152880410369377
3,gradient_boosting,count_1d,0.0007471051512126989
3,gradient_boosting,count_7d,0.0032220038497639057
3,gradient_boosting,count_30d,0.7855482075981681
3,gradient_boosting,max_mag_7d,0.018266531853788442
3,gradient_boosting,max_mag_30d,0.01050803685637215
3,gradient_boosting,mean_depth_30d,0.03733459940683178
3,gradient_boosting,days_since_m5,0.004538745354299386
3,gradient_boosting,min_fault_dist_km,0.020440677367447684
3,gradient_boosting,mean_fault_dist_km_7d,0.01975849508016582
3,gradient_boosting,pct_near_fault_30d,0.006900312642398275
3,gradient_boosting,num_clusters_30d,0.01496483409482678
3,gradient_boosting,largest_cluster_size_30d,0.004367169789910988
3,gradient_boosting,pct_clustered_30d,0.00696695761999573
3,gradient_boosting,max_grid_cell_count_30d,0.00044820110390584846
3,gradient_boosting,b_value_180d,0.02078119921454999
3,gradient_boosting,a_value_180d,0.009531794634765708
3,gradient_boosting,delta_b_90d,0.001756464135755502
3,gradient_boosting,count_1d_missing,0.0
3,gradient_boosting,count_7d_missing,0.0
3,gradient_boosting,count_30d_missing,0.0
3,gradient_boosting,max_mag_7d_missing,0.0
3,gradient_boosting,max_mag_30d_missing,0.0
3,gradient_boosting,mean_depth_30d_missing,0.0
3,gradient_boosting,days_since_m5_missing,0.0
3,gradient_boosting,min_fault_dist_km_missing,0.0
3,gradient_boosting,mean_fault_dist_km_7d_missing,4.222916423125278e-05
3,gradient_boosting,pct_near_fault_30d_missing,0.0
3,gradient_boosting,num_clusters_30d_missing,0.0
3,gradient_boosting,largest_cluster_size_30d_missing,0.0
3,gradient_boosting,pct_clustered_30d_missing,0.0
3,gradient_boosting,max_grid_cell_count_30d_missing,0.0
3,gradient_boosting,b_value_180d_missing,0.0006762672399462573
3,gradient_boosting,a_value_180d_missing,0.005434770991153151
3,gradient_boosting,delta_b_90d_missing,0.0
3,gradient_boosting,province_Davao De Oro,0.0018672896228900079
3,gradient_boosting,province_Davao Del Norte,0.01621407973066677
3,gradient_boosting,province_Davao Del Sur,0.00014203120368507416
3,gradient_boosting,province_Davao Occidental,0.009302122540774933
3,gradient_boosting,province_Davao Oriental,0.0002398737524936835
4,random_forest,count_1d,0.0032216120320722815
4,random_forest,count_7d,0.010787708930493667
4,random_forest,count_30d,0.7258818478042504
4,random_forest,max_mag_7d,0.018066387396802875
4,random_forest,max_mag_30d,0.023006165244909914
4,random_forest,mean_depth_30d,0.04504387304823989
4,random_forest,days_since_m5,0.01328703296231085
4,random_forest,min_fault_dist_km,0.01986112315268987
4,random_forest,mean_fault_dist_km_7d,0.020493581807862666
4,random_forest,pct_near_fault_30d,0.013122386477950849
4,random_forest,num_clusters_30d,0.005736192888635921
4,random_forest,largest_cluster_size_30d,0.004571867872783217
4,random_forest,pct_clustered_30d,0.012522528381285557
4,random_forest,max_grid_cell_count_30d,0.0036824144432156015
4,random_forest,b_value_180d,0.030715622237603796
4,random_forest,a_value_180d,0.014790732479166607
4,random_forest,delta_b_90d,0.0048792120463259986
4,random_forest,count_1d_missing,0.0
4,random_forest,count_7d_missing,0.0
4,random_forest,count_30d_missing,0.0
4,random_forest,max_mag_7d_missing,0.0003105023529063526
4,random_forest,max_mag_30d_missing,0.00020223669369291464
4,random_forest,mean_depth_30d_missing,0.0002570478460929384
4,random_forest,days_since_m5_missing,0.0
4,random_forest,min_fault_dist_km_missing,0.00023676698183663992
4,random_forest,mean_fault_dist_km_7d_missing,0.00027594726771301817
4,random_forest,pct_near_fault_30d_missing,0.0002997509948176133
4,random_forest,num_clusters_30d_missing,0.0
4,random_forest,largest_cluster_size_30d_missing,0.0
4,random_forest,pct_clustered_30d_missing,0.0
4,random_forest,max_grid_cell_count_30d_missing,0.0
4,random_forest,b_value_180d_missing,0.0006570058683112759
4,random_forest,a_value_180d_missing,0.0002527729935230345
4,random_forest,delta_b_90d_missing,0.0002728695830091016
4,random_forest,province_Davao De Oro,0.003680955696722705
4,random_forest,province_Davao Del Norte,0.008572084308107547
4,random_forest,province_Davao Del Sur,0.003142822015477316
4,random_forest,province_Davao Occidental,0.011876237669596768
4,random_forest,province_Davao Oriental,0.000292710521593053
4,gradient_boosting,count_1d,0.0017848272979844005
4,gradient_boosting,count_7d,0.006512097247048877
4,gradient_boosting,count_30d,0.7668448440350484
4,gradient_boosting,max_mag_7d,0.01214652540393338
4,gradient_boosting,max_mag_30d,0.01687948024658695
4,gradient_boosting,mean_depth_30d,0.0363471903933319
4,gradient_boosting,days_since_m5,0.011619280419711471
4,gradient_boosting,min_fault_dist_km,0.013031208725391801
4,gradient_boosting,mean_fault_dist_km_7d,0.025279068443849105
4,gradient_boosting,pct_near_fault_30d,0.00990731593301282
4,gradient_boosting,num_clusters_30d,0.011775391346242304
4,gradient_boosting,largest_cluster_size_30d,0.002259529166642559
4,gradient_boosting,pct_clustered_30d,0.005240029036669463
4,gradient_boosting,max_grid_cell_count_30d,0.0013507443307189694
4,gradient_boosting,b_value_180d,0.041305790644679596
4,gradient_boosting,a_value_180d,0.010353791059405456
4,gradient_boosting,delta_b_90d,0.001972226265265404
4,gradient_boosting,count_1d_missing,0.0
4,gradient_boosting,count_7d_missing,0.0
4,gradient_boosting,count_30d_missing,0.0
4,gradient_boosting,max_mag_7d_missing,0.0001508277267203524
4,gradient_boosting,max_mag_30d_missing,0.0
4,gradient_boosting,mean_depth_30d_missing,0.0
4,gradient_boosting,days_since_m5_missing,0.0
4,gradient_boosting,min_fault_dist_km_missing,0.00016104780745892084
4,gradient_boosting,mean_fault_dist_km_7d_missing,0.0
4,gradient_boosting,pct_near_fault_30d_missing,0.00014737290439855173
4,gradient_boosting,num_clusters_30d_missing,0.0
4,gradient_boosting,largest_cluster_size_30d_missing,0.0
4,gradient_boosting,pct_clustered_30d_missing,0.0
4,gradient_boosting,max_grid_cell_count_30d_missing,0.0
4,gradient_boosting,b_value_180d_missing,0.00024218712771722863
4,gradient_boosting,a_value_180d_missing,0.0
4,gradient_boosting,delta_b_90d_missing,0.0
4,gradient_boosting,province_Davao De Oro,0.002201650212632348
4,gradient_boosting,province_Davao Del Norte,0.012738374134190237
4,gradient_boosting,province_Davao Del Sur,0.0
4,gradient_boosting,province_Davao Occidental,0.009365430465111822
4,gradient_boosting,province_Davao Oriental,0.0003837696262478374
5,random_forest,count_1d,0.003581411934101676
5,random_forest,count_7d,0.0072882810321787846
5,random_forest,count_30d,0.7003234457038605
5,random_forest,max_mag_7d,0.015163402501917342
5,random_forest,max_mag_30d,0.025036822174342877
5,random_forest,mean_depth_30d,0.045642873909621344
5,random_forest,days_since_m5,0.014026950155249575
5,random_forest,min_fault_dist_km,0.02175553574956339
5,random_forest,mean_fault_dist_km_7d,0.032210032671126015
5,random_forest,pct_near_fault_30d,0.02212758848976925
5,random_forest,num_clusters_30d,0.006030488772151999
5,random_forest,largest_cluster_size_30d,0.007873940554666822
5,random_forest,pct_clustered_30d,0.014335736478850654
5,random_forest,max_grid_cell_count_30d,0.004429274827690432
5,random_forest,b_value_180d,0.03241791429672471
5,random_forest,a_value_180d,0.019668739945110543
5,random_forest,delta_b_90d,0.004850951220782743
5,random_forest,count_1d_missing,0.0
5,random_forest,count_7d_missing,0.0
5,random_forest,count_30d_missing,0.0
5,random_forest,max_mag_7d_missing,0.00022820021320840378
5,random_forest,max_mag_30d_missing,0.00019584583769409242
5,random_forest,mean_depth_30d_missing,0.0002463997517404609
5,random_forest,days_since_m5_missing,0.0
