fold,model,mae,rmse,r2,zero_mae,event_mae,event_proba_mean_zero,event_proba_mean_event
6,two_stage_gated_50,0.9927535779845117,1.432930945224504,0.21578553756002372,1.3522100632275142,0.8704642582626655,0.49397311564854113,0.7991846094193786
7,linear_regression,1.001981751807352,1.3663178362200588,0.3771513585833266,1.6285276066100394,0.7620280201807907,,
7,random_forest,1.0248207634666262,1.3901330929162634,0.3552493180452083,1.8177548445629437,0.7211438813446323,,
7,gradient_boosting,1.1072525151081662,1.5156397962355936,0.23357255839316837,1.8749823206728433,0.813228334253609,,
7,two_stage_expected,0.949137481715418,1.3226710594822446,0.41630933422285454,1.394969987386749,0.7783931178412913,0.48104494755471133,0.8317127480170583
7,two_stage_gated_30,1.023080957503975,1.5662325127356151,0.1815512003513099,1.6995091359382686,0.7640233572525436,0.48104494755471133,0.8317127480170583
7,two_stage_gated_50,0.9562532079315365,1.5109637440277164,0.23829442738172213,1.3376469358821232,0.8101875248866309,0.48104494755471133,0.8317127480170583
8,linear_regression,0.891706805229379,1.230135540873882,0.2701376955173884,1.6264783781478203,0.7253434302289771,,
8,random_forest,0.9587773738676757,1.2783346276153902,0.21182236363155993,1.7750520012362012,0.7739604771049906,,
8,gradient_boosting,0.9694091374202501,1.306577113268125,0.1766109356921851,1.7195375786329736,0.7995687356362372,,
8,two_stage_expected,0.9068389163574273,1.2548232226607035,0.24054840862543947,1.3964369547770088,0.7959865303001634,0.4783033006689956,0.7614099817375548
8,two_stage_gated_30,0.9932629741869387,1.4483395018462613,-0.011755917208820854,2.1704067031984744,0.7267398657314965,0.4783033006689957,0.7614099817375548
8,two_stage_gated_50,1.024557452278986,1.561369531032802,-0.17583505037801617,1.1281949338333683,1.0010923621157295,0.4783033006689957,0.7614099817375549
9,linear_regression,0.7934562068427814,1.0605944226708475,0.3941446014939247,1.505745180022542,0.6934858246421133,,
9,random_forest,0.8213925452255628,1.0680913804290324,0.3855491848772218,1.58462475475913,0.7142722351155885,,
9,gradient_boosting,0.8121048166468031,1.0987477783472397,0.34977101645426467,1.455800096334246,0.7217616194976884,,
9,two_stage_expected,0.8325708324599321,1.105351974406156,0.34193091815982535,1.2980511232971663,0.7672402653248817,0.4808120302938031,0.7911587662744161
9,two_stage_gated_30,0.7719300131936008,1.172708860168911,0.25928572081445145,2.3622790549793224,0.5487231301359556,0.4808120302938031,0.7911587662744161
